time,sunspots,,
1757.42 ,38.1 ,,
1757.50 ,12.8 ,,
1757.58 ,25.0 ,,
1757.67 ,51.3 ,,
1757.75 ,39.7 ,,
1757.83 ,32.5 ,,
1757.92 ,64.7 ,,
1758.00 ,33.5 ,,
1758.08 ,37.6 ,,
1758.17 ,52.0 ,,
1758.25 ,49.0 ,,
1758.33 ,72.3 ,,
1758.42 ,46.4 ,,
1758.50 ,45.0 ,,
1758.58 ,44.0 ,,
1758.67 ,38.7 ,,
1758.75 ,62.5 ,,
1758.83 ,37.7 ,,
1758.92 ,43.0 ,,
1759.00 ,43.0 ,,
1759.08 ,48.3 ,,
1759.17 ,44.0 ,,
1759.25 ,46.8 ,,
1759.33 ,47.0 ,,
1759.42 ,49.0 ,,
1759.50 ,50.0 ,,
1759.58 ,51.0 ,,
1759.67 ,71.3 ,,
1759.75 ,77.2 ,,
1759.83 ,59.7 ,,
1759.92 ,46.3 ,,
1760.00 ,57.0 ,,
1760.08 ,67.3 ,,
1760.17 ,59.5 ,,
1760.25 ,74.7 ,,
1760.33 ,58.3 ,,
1760.42 ,72.0 ,,
1760.50 ,48.3 ,,
1760.58 ,66.0 ,,
1760.67 ,75.6 ,,
1760.75 ,61.3 ,,
1760.83 ,50.6 ,,
1760.92 ,59.7 ,,
1761.00 ,61.0 ,,
1761.08 ,70.0 ,,
1761.17 ,91.0 ,,
1761.25 ,80.7 ,,
1761.33 ,71.7 ,,
1761.42 ,107.2 ,,
1761.50 ,99.3 ,,
1761.58 ,94.1 ,,
1761.67 ,91.1 ,,
1761.75 ,100.7,,
1761.83 ,88.7 ,,
1761.92 ,89.7 ,,
1762.00 ,46.0 ,,
1762.08 ,43.8 ,,
1762.17 ,72.8 ,,
1762.25 ,45.7 ,,
1762.33 ,60.2 ,,
1762.42 ,39.9 ,,
1762.50 ,77.1 ,,
1762.58 ,33.8 ,,
1762.67 ,67.7 ,,
1762.75 ,68.5 ,,
1762.83 ,69.3 ,,
1762.92 ,77.8 ,,
1763.00 ,77.2 ,,
1763.08 ,56.5 ,,
1763.17 ,31.9 ,,
1763.25 ,34.2 ,,
1763.33 ,32.9 ,,
1763.42 ,32.7 ,,
1763.50 ,35.8 ,,
1763.58 ,54.2 ,,
1763.67 ,26.5 ,,
1763.75 ,68.1 ,,
1763.83 ,46.3 ,,
1763.92 ,60.9 ,,
1764.00 ,61.4 ,,
1764.08 ,59.7 ,,
1764.17 ,59.7 ,,
1764.25 ,40.2 ,,
1764.33 ,34.4 ,,
1764.42 ,44.3 ,,
1764.50 ,30.0 ,,
1764.58 ,30.0 ,,
1764.67 ,30.0 ,,
1764.75 ,28.2 ,,
1764.83 ,28.0 ,,
1764.92 ,26.0 ,,
1765.00 ,25.7 ,,
1765.08 ,24.0 ,,
1765.17 ,26.0 ,,
1765.25 ,25.0 ,,
1765.33 ,22.0 ,,
1765.42 ,20.2 ,,
1765.50 ,20.0 ,,
1765.58 ,27.0 ,,
1765.67 ,29.7 ,,
1765.75 ,16.0 ,,
1765.83 ,14.0 ,,
1765.92 ,14.0 ,,
1766.00 ,13.0 ,,
1766.08 ,12.0 ,,
1766.17 ,11.0 ,,
1766.25 ,36.6 ,,
1766.33 ,6.0 ,,
1766.42 ,26.8 ,,
1766.50 ,3.0 ,,
1766.58 ,3.3 ,,
1766.67 ,4.0 ,,
1766.75 ,4.3 ,,
1766.83 ,5.0 ,,
1766.92 ,5.7 ,,
1767.00 ,19.2 ,,
1767.08 ,27.4 ,,
1767.17 ,30.0 ,,
1767.25 ,43.0 ,,
1767.33 ,32.9 ,,
1767.42 ,29.8 ,,
1767.50 ,33.3 ,,
1767.58 ,21.9 ,,
1767.67 ,40.8 ,,
1767.75 ,42.7 ,,
1767.83 ,44.1 ,,
1767.92 ,54.7 ,,
1768.00 ,53.3 ,,
1768.08 ,53.5 ,,
1768.17 ,66.1 ,,
1768.25 ,46.3 ,,
1768.33 ,42.7 ,,
1768.42 ,77.7 ,,
1768.50 ,77.4 ,,
1768.58 ,52.6 ,,
1768.67 ,66.8 ,,
1768.75 ,74.8 ,,
1768.83 ,77.8 ,,
1768.92 ,90.6 ,,
1769.00 ,111.8,,
1769.08 ,73.9 ,,
1769.17 ,64.2 ,,
1769.25 ,64.3 ,,
1769.33 ,96.7 ,,
1769.42 ,73.6 ,,
1769.50 ,94.4 ,,
1769.58 ,118.6,,
1769.67 ,120.3 ,,
1769.75 ,148.8 ,,
1769.83 ,158.2 ,,
1769.92 ,148.1 ,,
1770.00 ,112.0 ,,
1770.08 ,104.0 ,,
1770.17 ,142.5 ,,
1770.25 ,80.1 ,,
1770.33 ,51.0 ,,
1770.42 ,70.1 ,,
1770.50 ,83.3 ,,
1770.58 ,109.8 ,,
1770.67 ,126.3 ,,
1770.75 ,104.4 ,,
1770.83 ,103.6 ,,
1770.92 ,132.2 ,,
1771.00 ,102.3 ,,
1771.08 ,36.0 ,,
1771.17 ,46.2 ,,
1771.25 ,46.7 ,,
1771.33 ,64.9 ,,
1771.42 ,152.7 ,,
1771.50 ,119.5 ,,
1771.58 ,67.7 ,,
1771.67 ,58.5 ,,
1771.75 ,101.4,,
1771.83 ,90.0 ,,
1771.92 ,99.7 ,,
1772.00 ,95.7 ,,
1772.08 ,100.9,,
1772.17 ,90.8 ,,
1772.25 ,31.1 ,,
1772.33 ,92.2 ,,
1772.42 ,38.0 ,,
1772.50 ,57.0 ,,
1772.58 ,77.3 ,,
1772.67 ,56.2 ,,
1772.75 ,50.5 ,,
1772.83 ,78.6 ,,
1772.92 ,61.3 ,,
1773.00 ,64.0 ,,
1773.08 ,54.6 ,,
1773.17 ,29.0 ,,
1773.25 ,51.2 ,,
1773.33 ,32.9 ,,
1773.42 ,41.1 ,,
1773.50 ,28.4 ,,
1773.58 ,27.7 ,,
1773.67 ,12.7 ,,
1773.75 ,29.3 ,,
1773.83 ,26.3 ,,
1773.92 ,40.9 ,,
1774.00 ,43.2 ,,
1774.08 ,46.8 ,,
1774.17 ,65.4 ,,
1774.25 ,55.7 ,,
1774.33 ,43.8 ,,
1774.42 ,51.3 ,,
1774.50 ,28.5 ,,
1774.58 ,17.5 ,,
1774.67 ,6.6 ,,
1774.75 ,7.9 ,,
1774.83 ,14.0 ,,
1774.92 ,17.7 ,,
1775.00 ,12.2 ,,
1775.08 ,4.4 ,,
1775.17 ,0.0 ,,
1775.25 ,11.6 ,,
1775.33 ,11.2 ,,
1775.42 ,3.9 ,,
1775.50 ,12.3 ,,
1775.58 ,1.0 ,,
1775.67 ,7.9 ,,
1775.75 ,3.2 ,,
1775.83 ,5.6 ,,
1775.92 ,15.1 ,,
1776.00 ,7.9 ,,
1776.08 ,21.7 ,,
1776.17 ,11.6 ,,
1776.25 ,6.3 ,,
1776.33 ,21.8 ,,
1776.42 ,11.2 ,,
1776.50 ,19.0 ,,
1776.58 ,1.0 ,,
1776.67 ,24.2 ,,
1776.75 ,16.0 ,,
1776.83 ,30.0 ,,
1776.92 ,35.0 ,,
1777.00 ,40.0 ,,
1777.08 ,45.0 ,,
1777.17 ,36.5 ,,
1777.25 ,39.0 ,,
1777.33 ,95.5 ,,
1777.42 ,80.3 ,,
1777.50 ,80.7 ,,
1777.58 ,95.0 ,,
1777.67 ,112,,
1777.75 ,116.2,,
1777.83 ,106.5,,
1777.92 ,146,,
1778.00 ,157.3,,
1778.08 ,177.3,,
1778.17 ,109.3,,
1778.25 ,134,,
1778.33 ,145,,
1778.42 ,238.9,,
1778.50 ,171.6,,
1778.58 ,153,,
1778.67 ,140,,
1778.75 ,171.7,,
1778.83 ,156.3,,
1778.92 ,150.3,,
1779.00 ,105,,
1779.08 ,114.7,,
1779.17 ,165.7,,
1779.25 ,118,,
1779.33 ,145,,
1779.42 ,140,,
1779.50 ,113.7,,
1779.58 ,143,,
1779.67 ,112,,
1779.75 ,111,,
1779.83 ,124,,
1779.92 ,114,,
1780.00 ,110,,
1780.08 ,70.0 ,,
1780.17 ,98.0 ,,
1780.25 ,98.0 ,,
1780.33 ,95.0 ,,
1780.42 ,107.2,,
1780.50 ,88.0 ,,
1780.58 ,86.0 ,,
1780.67 ,86.0 ,,
1780.75 ,93.7 ,,
1780.83 ,77.0 ,,
1780.92 ,60.0 ,,
1781.00 ,58.7 ,,
1781.08 ,98.7 ,,
1781.17 ,74.7 ,,
1781.25 ,53.0 ,,
1781.33 ,68.3 ,,
1781.42 ,104.7,,
1781.50 ,97.7 ,,
1781.58 ,73.5 ,,
1781.67 ,66.0 ,,
1781.75 ,51.0 ,,
1781.83 ,27.3 ,,
1781.92 ,67.0 ,,
1782.00 ,35.2 ,,
1782.08 ,54.0 ,,
1782.17 ,37.5 ,,
1782.25 ,37.0 ,,
1782.33 ,41.0 ,,
1782.42 ,54.3 ,,
1782.50 ,38.0 ,,
1782.58 ,37.0 ,,
1782.67 ,44.0 ,,
1782.75 ,34.0 ,,
1782.83 ,23.2 ,,
1782.92 ,31.5 ,,
1783.00 ,30.0 ,,
1783.08 ,28.0 ,,
1783.17 ,38.7 ,,
1783.25 ,26.7 ,,
1783.33 ,28.3 ,,
1783.42 ,23.0 ,,
1783.50 ,25.2 ,,
1783.58 ,32.2 ,,
1783.67 ,20.0 ,,
1783.75 ,18.0 ,,
1783.83 ,8.0 ,,
1783.92 ,15.0 ,,
1784.00 ,10.5 ,,
1784.08 ,13.0 ,,
1784.17 ,8.0 ,,
1784.25 ,11.0 ,,
1784.33 ,10.0 ,,
1784.42 ,6.0 ,,
1784.50 ,9.0 ,,
1784.58 ,6.0 ,,
1784.67 ,10.0 ,,
1784.75 ,10.0 ,,
1784.83 ,8.0 ,,
1784.92 ,17.0 ,,
1785.00 ,14.0 ,,
1785.08 ,6.5 ,,
1785.17 ,8.0 ,,
1785.25 ,9.0 ,,
1785.33 ,15.7 ,,
1785.42 ,20.7 ,,
1785.50 ,26.3 ,,
1785.58 ,36.3 ,,
1785.67 ,20.0 ,,
1785.75 ,32.0 ,,
1785.83 ,47.2 ,,
1785.92 ,40.2 ,,
1786.00 ,27.3 ,,
1786.08 ,37.2 ,,
1786.17 ,47.6 ,,
1786.25 ,47.7 ,,
1786.33 ,85.4 ,,
1786.42 ,92.3 ,,
1786.50 ,59.0 ,,
1786.58 ,83.0 ,,
1786.67 ,89.7 ,,
1786.75 ,111.5,,
1786.83 ,112.3,,
1786.92 ,116,,
1787.00 ,112.7,,
1787.08 ,134.7,,
1787.17 ,106,,
1787.25 ,87.4 ,,
1787.33 ,127.2,,
1787.42 ,134.8,,
1787.50 ,99.2 ,,
1787.58 ,128,,
1787.67 ,137.2,,
1787.75 ,157.3,,
1787.83 ,157,,
1787.92 ,141.5,,
1788.00 ,174,,
1788.08 ,138,,
1788.17 ,129.2,,
1788.25 ,143.3,,
1788.33 ,108.5,,
1788.42 ,113,,
1788.50 ,154.2,,
1788.58 ,141.5,,
1788.67 ,136,,
1788.75 ,141,,
1788.83 ,142,,
1788.92 ,94.7 ,,
1789.00 ,129.5,,
1789.08 ,114,,
1789.17 ,125.3,,
1789.25 ,120,,
1789.33 ,123.3,,
1789.42 ,123.5,,
1789.50 ,120,,
1789.58 ,117,,
1789.67 ,103,,
1789.75 ,112,,
1789.83 ,89.7 ,,
1789.92 ,134,,
1790.00 ,135.5,,
1790.08 ,103,,
1790.17 ,127.5,,
1790.25 ,96.3 ,,
1790.33 ,94.0 ,,
1790.42 ,93.0 ,,
1790.50 ,91.0 ,,
1790.58 ,69.3 ,,
1790.67 ,87.0 ,,
1790.75 ,77.3 ,,
1790.83 ,84.3 ,,
1790.92 ,82.0 ,,
1791.00 ,74.0 ,,
1791.08 ,72.7 ,,
1791.17 ,62.0 ,,
1791.25 ,74.0 ,,
1791.33 ,77.2 ,,
1791.42 ,73.7 ,,
1791.50 ,64.2 ,,
1791.58 ,71.0 ,,
1791.67 ,43.0 ,,
1791.75 ,66.5 ,,
1791.83 ,61.7 ,,
1791.92 ,67.0 ,,
1792.00 ,66.0 ,,
1792.08 ,58.0 ,,
1792.17 ,64.0 ,,
1792.25 ,63.0 ,,
1792.33 ,75.7 ,,
1792.42 ,62.0 ,,
1792.50 ,61.0 ,,
1792.58 ,45.8 ,,
1792.67 ,60.0 ,,
1792.75 ,59.0 ,,
1792.83 ,59.0 ,,
1792.92 ,57.0 ,,
1793.00 ,56.0 ,,
1793.08 ,56.0 ,,
1793.17 ,55.0 ,,
1793.25 ,55.5 ,,
1793.33 ,53.0 ,,
1793.42 ,52.3 ,,
1793.50 ,51.0 ,,
1793.58 ,50.0 ,,
1793.67 ,29.3 ,,
1793.75 ,24.0 ,,
1793.83 ,47.0 ,,
1793.92 ,44.0 ,,
1794.00 ,45.7 ,,
1794.08 ,45.0 ,,
1794.17 ,44.0 ,,
1794.25 ,38.0 ,,
1794.33 ,28.4 ,,
1794.42 ,55.7 ,,
1794.50 ,41.5 ,,
1794.58 ,41.0 ,,
1794.67 ,40.0 ,,
1794.75 ,11.1 ,,
1794.83 ,28.5 ,,
1794.92 ,67.4 ,,
1795.00 ,51.4 ,,
1795.08 ,21.4 ,,
1795.17 ,39.9 ,,
1795.25 ,12.6 ,,
1795.33 ,18.6 ,,
1795.42 ,31.0 ,,
1795.50 ,17.1 ,,
1795.58 ,12.9 ,,
1795.67 ,25.7 ,,
1795.75 ,13.5 ,,
1795.83 ,19.5 ,,
1795.92 ,25.0 ,,
1796.00 ,18.0 ,,
1796.08 ,22.0 ,,
1796.17 ,23.8 ,,
1796.25 ,15.7 ,,
1796.33 ,31.7 ,,
1796.42 ,21.0 ,,
1796.50 ,6.7 ,,
1796.58 ,26.9 ,,
1796.67 ,1.5 ,,
1796.75 ,18.4 ,,
1796.83 ,11.0 ,,
1796.92 ,8.4 ,,
1797.00 ,5.1 ,,
1797.08 ,14.4 ,,
1797.17 ,4.2 ,,
1797.25 ,4.0 ,,
1797.33 ,4.0 ,,
1797.42 ,7.3 ,,
1797.50 ,11.1 ,,
1797.58 ,4.3 ,,
1797.67 ,6.0 ,,
1797.75 ,5.7 ,,
1797.83 ,6.9 ,,
1797.92 ,5.8 ,,
1798.00 ,3.0 ,,
1798.08 ,2.0 ,,
1798.17 ,4.0 ,,
1798.25 ,12.4 ,,
1798.33 ,1.1 ,,
1798.42 ,0.0 ,,
1798.50 ,0.0 ,,
1798.58 ,0.0 ,,
1798.67 ,3.0 ,,
1798.75 ,2.4 ,,
1798.83 ,1.5 ,,
1798.92 ,12.5 ,,
1799.00 ,9.9 ,,
1799.08 ,1.6 ,,
1799.17 ,12.6 ,,
1799.25 ,21.7 ,,
1799.33 ,8.4 ,,
1799.42 ,8.2 ,,
1799.50 ,10.6 ,,
1799.58 ,2.1 ,,
1799.67 ,0.0 ,,
1799.75 ,0.0 ,,
1799.83 ,4.6 ,,
1799.92 ,2.7 ,,
1800.00 ,8.6 ,,
1800.08 ,6.9 ,,
1800.17 ,9.3 ,,
1800.25 ,13.9 ,,
1800.33 ,0.0 ,,
1800.42 ,5.0 ,,
1800.50 ,23.7 ,,
1800.58 ,21.0 ,,
1800.67 ,19.5 ,,
1800.75 ,11.5 ,,
1800.83 ,12.3 ,,
1800.92 ,10.5 ,,
1801.00 ,40.1 ,,
1801.08 ,27.0 ,,
1801.17 ,29.0 ,,
1801.25 ,30.0 ,,
1801.33 ,31.0 ,,
1801.42 ,32.0 ,,
1801.50 ,31.2 ,,
1801.58 ,35.0 ,,
1801.67 ,38.7 ,,
1801.75 ,33.5 ,,
1801.83 ,32.6 ,,
1801.92 ,39.8 ,,
1802.00 ,48.2 ,,
1802.08 ,47.8 ,,
1802.17 ,47.0 ,,
1802.25 ,40.8 ,,
1802.33 ,42.0 ,,
1802.42 ,44.0 ,,
1802.50 ,46.0 ,,
1802.58 ,48.0 ,,
1802.67 ,50.0 ,,
1802.75 ,51.8 ,,
1802.83 ,38.5 ,,
1802.92 ,34.5 ,,
1803.00 ,50.0 ,,
1803.08 ,50.0 ,,
1803.17 ,50.8 ,,
1803.25 ,29.5 ,,
1803.33 ,25.0 ,,
1803.42 ,44.3 ,,
1803.50 ,36.0 ,,
1803.58 ,48.3 ,,
1803.67 ,34.1 ,,
1803.75 ,45.3 ,,
1803.83 ,54.3 ,,
1803.92 ,51.0 ,,
1804.00 ,48.0 ,,
1804.08 ,45.3 ,,
1804.17 ,48.3 ,,
1804.25 ,48.0 ,,
1804.33 ,50.6 ,,
1804.42 ,33.4 ,,
1804.50 ,34.8 ,,
1804.58 ,29.8 ,,
1804.67 ,43.1 ,,
1804.75 ,53.0 ,,
1804.83 ,62.3 ,,
1804.92 ,61.0 ,,
1805.00 ,60.0 ,,
1805.08 ,61.0 ,,
1805.17 ,44.1 ,,
1805.25 ,51.4 ,,
1805.33 ,37.5 ,,
1805.42 ,39.0 ,,
1805.50 ,40.5 ,,
1805.58 ,37.6 ,,
1805.67 ,42.7 ,,
1805.75 ,44.4 ,,
1805.83 ,29.4 ,,
1805.92 ,41.0 ,,
1806.00 ,38.3 ,,
1806.08 ,39.0 ,,
1806.17 ,29.6 ,,
1806.25 ,32.7 ,,
1806.33 ,27.7 ,,
1806.42 ,26.4 ,,
1806.50 ,25.6 ,,
1806.58 ,30.0 ,,
1806.67 ,26.3 ,,
1806.75 ,24.0 ,,
1806.83 ,27.0 ,,
1806.92 ,25.0 ,,
1807.00 ,24.0 ,,
1807.08 ,12.0 ,,
1807.17 ,12.2 ,,
1807.25 ,9.6 ,,
1807.33 ,23.8 ,,
1807.42 ,10.0 ,,
1807.50 ,12.0 ,,
1807.58 ,12.7 ,,
1807.67 ,12.0 ,,
1807.75 ,5.7 ,,
1807.83 ,8.0 ,,
1807.92 ,2.6 ,,
1808.00 ,0.0 ,,
1808.08 ,0.0 ,,
1808.17 ,4.5 ,,
1808.25 ,0.0 ,,
1808.33 ,12.3 ,,
1808.42 ,13.5 ,,
1808.50 ,13.5 ,,
1808.58 ,6.7 ,,
1808.67 ,8.0 ,,
1808.75 ,11.7 ,,
1808.83 ,4.7 ,,
1808.92 ,10.5 ,,
1809.00 ,12.3 ,,
1809.08 ,7.2 ,,
1809.17 ,9.2 ,,
1809.25 ,0.9 ,,
1809.33 ,2.5 ,,
1809.42 ,2.0 ,,
1809.50 ,7.7 ,,
1809.58 ,0.3 ,,
1809.67 ,0.2 ,,
1809.75 ,0.4 ,,
1809.83 ,0.0 ,,
1809.92 ,0.0 ,,
1810.00 ,0.0 ,,
1810.08 ,0.0 ,,
1810.17 ,0.0 ,,
1810.25 ,0.0 ,,
1810.33 ,0.0 ,,
1810.42 ,0.0 ,,
1810.50 ,0.0 ,,
1810.58 ,0.0 ,,
1810.67 ,0.0 ,,
1810.75 ,0.0 ,,
1810.83 ,0.0 ,,
1810.92 ,0.0 ,,
1811.00 ,0.0 ,,
1811.08 ,0.0 ,,
1811.17 ,0.0 ,,
1811.25 ,0.0 ,,
1811.33 ,0.0 ,,
1811.42 ,0.0 ,,
1811.50 ,0.0 ,,
1811.58 ,6.6 ,,
1811.67 ,0.0 ,,
1811.75 ,2.4 ,,
1811.83 ,6.1 ,,
1811.92 ,0.8 ,,
1812.00 ,1.1 ,,
1812.08 ,11.3 ,,
1812.17 ,1.9 ,,
1812.25 ,0.7 ,,
1812.33 ,0.0 ,,
1812.42 ,1.0 ,,
1812.50 ,1.3 ,,
1812.58 ,0.5 ,,
1812.67 ,15.6 ,,
1812.75 ,5.2 ,,
1812.83 ,3.9 ,,
1812.92 ,7.9 ,,
1813.00 ,10.1 ,,
1813.08 ,0.0 ,,
1813.17 ,10.3 ,,
1813.25 ,1.9 ,,
1813.33 ,16.6 ,,
1813.42 ,5.5 ,,
1813.50 ,11.2 ,,
1813.58 ,18.3 ,,
1813.67 ,8.4 ,,
1813.75 ,15.3 ,,
1813.83 ,27.8 ,,
1813.92 ,16.7 ,,
1814.00 ,14.3 ,,
1814.08 ,22.2 ,,
1814.17 ,12.0 ,,
1814.25 ,5.7 ,,
1814.33 ,23.8 ,,
1814.42 ,5.8 ,,
1814.50 ,14.9 ,,
1814.58 ,18.5 ,,
1814.67 ,2.3 ,,
1814.75 ,8.1 ,,
1814.83 ,19.3 ,,
1814.92 ,14.5 ,,
1815.00 ,20.1 ,,
1815.08 ,19.2 ,,
1815.17 ,32.2 ,,
1815.25 ,26.2 ,,
1815.33 ,31.6 ,,
1815.42 ,9.8 ,,
1815.50 ,55.9 ,,
1815.58 ,35.5 ,,
1815.67 ,47.2 ,,
1815.75 ,31.5 ,,
1815.83 ,33.5 ,,
1815.92 ,37.2 ,,
1816.00 ,65.0 ,,
1816.08 ,26.3 ,,
1816.17 ,68.8 ,,
1816.25 ,73.7 ,,
1816.33 ,58.8 ,,
1816.42 ,44.3 ,,
1816.50 ,43.6 ,,
1816.58 ,38.8 ,,
1816.67 ,23.2 ,,
1816.75 ,47.8 ,,
1816.83 ,56.4 ,,
1816.92 ,38.1 ,,
1817.00 ,29.9 ,,
1817.08 ,36.4 ,,
1817.17 ,57.9 ,,
1817.25 ,96.2 ,,
1817.33 ,26.4 ,,
1817.42 ,21.2 ,,
1817.50 ,40.0 ,,
1817.58 ,50.0 ,,
1817.67 ,45.0 ,,
1817.75 ,36.7 ,,
1817.83 ,25.6 ,,
1817.92 ,28.9 ,,
1818.00 ,28.4 ,,
1818.08 ,34.9 ,,
1818.17 ,22.4 ,,
1818.25 ,25.4 ,,
1818.33 ,34.5 ,,
1818.42 ,53.1 ,,
1818.50 ,36.4 ,,
1818.58 ,28.0 ,,
1818.67 ,31.5 ,,
1818.75 ,26.1 ,,
1818.83 ,31.7 ,,
1818.92 ,10.9 ,,
1819.00 ,25.8 ,,
1819.08 ,32.5 ,,
1819.17 ,20.7 ,,
1819.25 ,3.7 ,,
1819.33 ,20.2 ,,
1819.42 ,19.6 ,,
1819.50 ,35.0 ,,
1819.58 ,31.4 ,,
1819.67 ,26.1 ,,
1819.75 ,14.9 ,,
1819.83 ,27.5 ,,
1819.92 ,25.1 ,,
1820.00 ,30.6 ,,
1820.08 ,19.2 ,,
1820.17 ,26.6 ,,
1820.25 ,4.5 ,,
1820.33 ,19.4 ,,
1820.42 ,29.3 ,,
1820.50 ,10.8 ,,
1820.58 ,20.6 ,,
1820.67 ,25.9 ,,
1820.75 ,5.2 ,,
1820.83 ,9.0 ,,
1820.92 ,7.9 ,,
1821.00 ,9.7 ,,
1821.08 ,21.5 ,,
1821.17 ,4.3 ,,
1821.25 ,5.7 ,,
1821.33 ,9.2 ,,
1821.42 ,1.7 ,,
1821.50 ,1.8 ,,
1821.58 ,2.5 ,,
1821.67 ,4.8 ,,
1821.75 ,4.4 ,,
1821.83 ,18.8 ,,
1821.92 ,4.4 ,,
1822.00 ,0.0 ,,
1822.08 ,0.0 ,,
1822.17 ,0.9 ,,
1822.25 ,16.1 ,,
1822.33 ,13.5 ,,
1822.42 ,1.5 ,,
1822.50 ,5.6 ,,
1822.58 ,7.9 ,,
1822.67 ,2.1 ,,
1822.75 ,0.0 ,,
1822.83 ,0.4 ,,
1822.92 ,0.0 ,,
1823.00 ,0.0 ,,
1823.08 ,0.0 ,,
1823.17 ,0.0 ,,
1823.25 ,0.6 ,,
1823.33 ,0.0 ,,
1823.42 ,0.0 ,,
1823.50 ,0.0 ,,
1823.58 ,0.5 ,,
1823.67 ,0.0 ,,
1823.75 ,0.0 ,,
1823.83 ,0.0 ,,
1823.92 ,0.0 ,,
1824.00 ,20.4 ,,
1824.08 ,21.6 ,,
1824.17 ,10.8 ,,
1824.25 ,0.0 ,,
1824.33 ,19.4 ,,
1824.42 ,2.8 ,,
1824.50 ,0.0 ,,
1824.58 ,0.0 ,,
1824.67 ,1.4 ,,
1824.75 ,20.5 ,,
1824.83 ,25.2 ,,
1824.92 ,0.0 ,,
1825.00 ,0.8 ,,
1825.08 ,5.0 ,,
1825.17 ,15.5 ,,
1825.25 ,22.4 ,,
1825.33 ,3.8 ,,
1825.42 ,15.4 ,,
1825.50 ,15.4 ,,
1825.58 ,30.9 ,,
1825.67 ,25.4 ,,
1825.75 ,15.7 ,,
1825.83 ,15.6 ,,
1825.92 ,11.7 ,,
1826.00 ,22.0 ,,
1826.08 ,17.7 ,,
1826.17 ,18.2 ,,
1826.25 ,36.7 ,,
1826.33 ,24.0 ,,
1826.42 ,32.4 ,,
1826.50 ,37.1 ,,
1826.58 ,52.5 ,,
1826.67 ,39.6 ,,
1826.75 ,18.9 ,,
1826.83 ,50.6 ,,
1826.92 ,39.5 ,,
1827.00 ,68.1 ,,
1827.08 ,34.6 ,,
1827.17 ,47.4 ,,
1827.25 ,57.8 ,,
1827.33 ,46.0 ,,
1827.42 ,56.3 ,,
1827.50 ,56.7 ,,
1827.58 ,42.9 ,,
1827.67 ,53.7 ,,
1827.75 ,49.6 ,,
1827.83 ,57.2 ,,
