日期,小时,监测站,CO,FSP,NO2,NOX,O3,RSP,SO2,CO-W,FSP-W,date
5/9/2019,1,中環,76,11,35,62,22,14,5,56,7,2019/12/6
5/9/2019,2,中環,73,4,32,51,24,10,5,44,4,2019/12/7
5/9/2019,3,中環,75,5,36,67,19,9,5,57,2,2019/12/8
5/9/2019,4,中環,83,6,37,70,14,8,5,76,4,2019/12/9
5/9/2019,5,中環,73,5,26,46,29,11,4,66,5,2019/12/10
5/9/2019,6,中環,80,6,32,58,20,9,4,58,5,2019/12/11
5/9/2019,7,中環,85,5,48,113,10,6,5,72,6,2019/12/12
5/9/2019,8,中環,89,13,66,194,8,14,7,71,9,2019/12/13
5/9/2019,9,中環,91,13,79,293,8,14,8,69,8,2019/12/14
5/9/2019,10,中環,96,8,78,265,9,9,8,70,11,2019/12/15
5/9/2019,11,中環,100,8,71,211,13,8,7,64,12,2019/12/16
5/9/2019,12,中環,91,8,85,218,20,12,8,78,14,2019/12/17
5/9/2019,13,中環,90,8,73,178,27,14,7,72,16,2019/12/18
5/9/2019,14,中環,87,11,67,133,34,15,6,67,18,2019/12/19
5/9/2019,15,中環,82,13,67,149,31,17,6,68,15,2019/12/20
5/9/2019,16,中環,80,11,59,127,33,15,6,67,17,2019/12/21
5/9/2019,17,中環,79,13,55,111,31,17,5,61,17,2019/12/22
5/9/2019,18,中環,81,8,74,172,20,14,6,68,12,2019/12/23
5/9/2019,19,中環,83,8,91,226,20,15,7,69,13,2019/12/24
5/9/2019,20,中環,88,8,67,153,19,15,6,74,14,2019/12/25
5/9/2019,21,中環,95,13,65,179,16,17,6,68,17,2019/12/26
5/9/2019,22,中環,80,16,40,79,25,23,5,66,15,2019/12/27
5/9/2019,23,中環,83,4,43,85,20,10,5,61,12,2019/12/28
5/9/2019,24,中環,89,14,42,90,22,19,5,67,11,2019/12/29
6/9/2019,1,中環,84,17,28,52,29,20,5,50,10,2019/12/30
6/9/2019,2,中環,75,2,30,52,27,4,5,64,7,2019/12/31
6/9/2019,3,中環,77,3,32,55,26,4,5,57,6,2020/1/1
6/9/2019,4,中環,88,8,45,82,13,10,5,51,7,2020/1/2
6/9/2019,5,中環,84,6,41,79,18,10,5,47,6,2020/1/3
6/9/2019,6,中環,70,9,26,46,29,13,6,53,6,2020/1/4
6/9/2019,7,中環,76,14,39,82,16,19,6,47,7,2020/1/5
6/9/2019,8,中環,78,12,56,181,10,17,8,60,9,2020/1/6
6/9/2019,9,中環,89,18,74,273,9,23,9,47,9,2020/1/7
6/9/2019,10,中環,91,12,69,245,12,19,9,48,8,2020/1/8
6/9/2019,11,中環,87,5,74,240,14,12,8,52,8,2020/1/9
6/9/2019,12,中環,84,16,71,211,17,21,8,50,10,2020/1/10
6/9/2019,13,中環,79,20,58,145,28,23,7,47,10,2020/1/11
6/9/2019,14,中環,80,8,68,169,27,12,7,48,12,2020/1/12
6/9/2019,15,中環,80,7,65,150,29,13,6,56,10,2020/1/13
6/9/2019,16,中環,91,12,88,234,17,20,8,67,12,2020/1/14
6/9/2019,17,中環,85,17,95,249,16,25,8,72,15,2020/1/15
6/9/2019,18,中環,81,3,76,189,17,14,7,72,15,2020/1/16
6/9/2019,19,中環,95,11,97,266,17,18,9,67,23,2020/1/17
6/9/2019,20,中環,109,15,99,217,17,22,8,63,21,2020/1/18
6/9/2019,21,中環,112,23,83,155,17,30,7,72,19,2020/1/19
6/9/2019,22,中環,99,23,66,128,18,31,7,51,21,2020/1/20
6/9/2019,23,中環,83,21,56,119,19,28,6,55,15,2020/1/21
6/9/2019,24,中環,81,15,58,144,21,22,7,42,10,2020/1/22
7/9/2019,1,中環,90,11,64,144,12,17,7,49,10,2020/1/23
7/9/2019,2,中環,102,9,58,133,7,16,7,53,9,2020/1/24
7/9/2019,3,中環,104,8,60,185,5,15,8,78,10,2020/1/25
7/9/2019,4,中環,108,17,55,172,5,25,7,56,13,2020/1/26
7/9/2019,5,中環,102,13,50,122,6,22,6,70,10,2020/1/27
7/9/2019,6,中環,100,6,51,166,5,15,7,68,12,2020/1/28
7/9/2019,7,中環,121,12,54,202,6,22,8,70,16,2020/1/29
7/9/2019,8,中環,141,18,85,470,5,29,13,68,19,2020/1/30
7/9/2019,9,中環,98,22,91,418,5,40,14,76,19,2020/1/31
7/9/2019,10,中環,107,20,99,410,6,34,13,78,20,2020/2/1
7/9/2019,11,中環,111,25,122,444,7,37,14,72,23,2020/2/2
7/9/2019,12,中環,110,26,154,399,14,42,13,68,24,2020/2/3
7/9/2019,13,中環,104,32,168,306,26,50,10,69,24,2020/2/4
7/9/2019,14,中環,107,32,184,292,48,45,9,74,27,2020/2/5
7/9/2019,15,中環,117,32,154,260,23,47,10,78,27,2020/2/6
7/9/2019,16,中環,111,27,134,219,33,42,9,69,24,2020/2/7
7/9/2019,17,中環,106,22,163,296,22,37,8,74,19,2020/2/8
7/9/2019,18,中環,109,29,171,411,6,51,10,92,27,2020/2/9
7/9/2019,19,中環,116,38,160,329,6,56,8,89,31,2020/2/10
7/9/2019,20,中環,125,35,154,348,5,53,8,85,27,2020/2/11
7/9/2019,21,中環,123,29,142,357,5,49,8,91,26,2020/2/12
7/9/2019,22,中環,132,30,133,430,5,52,10,84,30,2020/2/13
7/9/2019,23,中環,105,33,93,242,15,57,7,68,28,2020/2/14
7/9/2019,24,中環,99,20,76,136,12,29,5,61,17,2020/2/15
8/9/2019,1,中環,103,19,89,198,6,26,6,58,14,2020/2/16
8/9/2019,2,中環,91,23,79,140,8,29,5,50,13,2020/2/17
8/9/2019,3,中環,91,25,75,138,8,29,5,55,11,2020/2/18
8/9/2019,4,中環,100,21,70,125,8,25,5,50,12,2020/2/19
8/9/2019,5,中環,94,30,72,128,6,35,5,57,13,2020/2/20
8/9/2019,6,中環,101,27,70,159,5,33,6,70,17,2020/2/21
8/9/2019,7,中環,100,20,72,185,6,27,6,77,18,2020/2/22
8/9/2019,8,中環,131,24,91,355,6,32,9,79,20,2020/2/23
8/9/2019,9,中環,105,34,117,437,6,49,11,76,25,2020/2/24
8/9/2019,10,中環,102,29,118,316,8,49,9,75,23,2020/2/25
8/9/2019,11,中環,111,22,127,287,12,39,8,84,25,2020/2/26
8/9/2019,12,中環,109,22,134,266,21,35,8,82,23,2020/2/27
8/9/2019,13,中環,98,27,86,129,50,37,6,81,25,2020/2/28
8/9/2019,14,中環,98,30,88,115,59,39,6,82,26,2020/2/29
8/9/2019,15,中環,94,32,50,69,101,40,5,80,30,2020/3/1
8/9/2019,16,中環,101,30,32,37,107,37,5,81,32,2020/3/2
8/9/2019,17,中環,97,26,51,77,92,37,5,80,27,2020/3/3
8/9/2019,18,中環,111,28,38,42,104,37,6,84,26,2020/3/4
8/9/2019,19,中環,104,34,48,52,74,42,5,89,24,2020/3/5
8/9/2019,20,中環,103,18,43,46,77,26,5,87,30,2020/3/6
8/9/2019,21,中環,99,24,30,33,84,30,5,81,33,2020/3/7
8/9/2019,22,中環,84,21,25,28,93,25,4,76,28,2020/3/8
8/9/2019,23,中環,83,15,42,49,77,19,4,88,24,2020/3/9
8/9/2019,24,中環,87,17,59,79,59,22,5,80,27,2020/3/10
9/9/2019,1,中環,85,26,62,84,49,32,5,72,26,2020/3/11
9/9/2019,2,中環,93,19,61,89,41,25,5,69,21,2020/3/12
9/9/2019,3,中環,89,23,68,97,32,27,5,70,18,2020/3/13
9/9/2019,4,中環,91,23,73,108,17,27,5,67,17,2020/3/14
9/9/2019,5,中環,88,18,70,108,12,22,5,63,18,2020/3/15
9/9/2019,6,中環,99,24,77,132,7,28,6,66,17,2020/3/16
9/9/2019,7,中環,129,21,87,215,7,32,7,67,18,2020/3/17
9/9/2019,8,中環,118,32,116,304,5,45,9,73,24,2020/3/18
9/9/2019,9,中環,103,33,132,423,6,49,11,77,22,2020/3/19
9/9/2019,10,中環,104,28,142,457,7,42,12,75,25,2020/3/20
9/9/2019,11,中環,116,21,144,506,7,34,13,77,22,2020/3/21
9/9/2019,12,中環,108,25,143,414,12,38,12,71,21,2020/3/22
9/9/2019,13,中環,109,32,112,248,29,41,9,69,24,2020/3/23
9/9/2019,14,中環,96,26,93,188,36,33,7,72,27,2020/3/24
9/9/2019,15,中環,91,21,97,216,37,25,8,73,24,2020/3/25
9/9/2019,16,中環,87,23,83,162,43,27,7,73,21,2020/3/26
9/9/2019,17,中環,91,17,105,239,26,22,7,74,23,2020/3/27
9/9/2019,18,中環,117,24,110,251,14,29,8,78,25,2020/3/28
9/9/2019,19,中環,119,25,127,336,11,30,9,73,25,2020/3/29
9/9/2019,20,中環,115,26,95,192,17,31,7,85,23,2020/3/30
9/9/2019,21,中環,107,25,89,182,19,30,6,81,24,2020/3/31
9/9/2019,22,中環,98,17,76,146,21,21,5,67,17,2020/4/1
9/9/2019,23,中環,91,12,71,134,16,20,5,64,16,2020/4/2
9/9/2019,24,中環,102,8,66,149,14,12,6,72,13,2020/4/3
10/9/2019,1,中環,80,9,55,113,19,14,5,70,14,2020/4/4
10/9/2019,2,中環,77,9,46,80,20,13,5,63,11,2020/4/5
10/9/2019,3,中環,76,8,42,69,21,12,6,65,8,2020/4/6
10/9/2019,4,中環,77,9,38,64,27,11,5,63,7,2020/4/7
10/9/2019,5,中環,75,12,39,69,29,14,5,79,6,2020/4/8
10/9/2019,6,中環,77,10,38,58,32,12,5,66,9,2020/4/9
10/9/2019,7,中環,81,13,56,102,22,16,5,60,10,2020/4/10
10/9/2019,8,中環,96,14,75,167,12,19,6,68,13,2020/4/11
10/9/2019,9,中環,90,12,73,176,20,17,7,67,13,2020/4/12
10/9/2019,10,中環,98,16,93,250,12,19,8,62,13,2020/4/13
10/9/2019,11,中環,102,17,98,293,12,25,9,72,11,2020/4/14
10/9/2019,12,中環,98,12,97,286,15,20,9,64,13,2020/4/15
10/9/2019,13,中環,96,14,80,193,23,21,7,67,15,2020/4/16
10/9/2019,14,中環,89,13,73,167,27,19,5,68,15,2020/4/17
10/9/2019,15,中環,92,8,87,239,19,16,7,63,12,2020/4/18
10/9/2019,16,中環,100,9,90,246,25,16,6,65,11,2020/4/19
10/9/2019,17,中環,75,7,75,180,28,13,4,74,13,2020/4/20
10/9/2019,18,中環,62,12,89,201,26,17,4,74,14,2020/4/21
10/9/2019,19,中環,63,8,80,153,30,15,3,77,14,2020/4/22
10/9/2019,20,中環,68,12,105,208,26,19,4,75,16,2020/4/23
10/9/2019,21,中環,67,16,74,120,32,21,3,83,18,2020/4/24
10/9/2019,22,中環,68,13,63,104,28,18,3,69,16,2020/4/25
10/9/2019,23,中環,66,9,60,107,25,14,3,67,11,2020/4/26
10/9/2019,24,中環,65,11,58,96,23,15,2,75,13,2020/4/27
11/9/2019,1,中環,57,10,52,91,22,14,3,68,11,2020/4/28
11/9/2019,2,中環,54,9,39,60,33,12,2,64,10,2020/4/29
11/9/2019,3,中環,50,9,39,60,34,11,2,62,7,2020/4/30
11/9/2019,4,中環,48,6,36,51,31,8,2,55,5,2020/5/1
11/9/2019,5,中環,51,3,35,53,33,5,2,62,5,2020/5/2
11/9/2019,6,中環,49,7,27,39,42,9,2,65,6,2020/5/3
11/9/2019,7,中環,53,8,49,83,21,11,2,59,7,2020/5/4
11/9/2019,8,中環,55,8,67,131,24,13,2,66,9,2020/5/5
11/9/2019,9,中環,64,6,106,277,16,13,4,71,12,2020/5/6
11/9/2019,10,中環,74,10,107,270,15,17,5,66,13,2020/5/7
11/9/2019,11,中環,75,11,110,283,19,18,5,68,13,2020/5/8
11/9/2019,12,中環,67,9,107,282,23,22,6,65,11,2020/5/9
11/9/2019,13,中環,71,9,98,224,31,24,4,70,14,2020/5/10
11/9/2019,14,中環,72,9,97,211,32,26,3,75,18,2020/5/11
11/9/2019,15,中環,84,15,116,235,30,22,4,82,20,2020/5/12
11/9/2019,16,中環,90,16,120,250,30,23,5,83,20,2020/5/13
11/9/2019,17,中環,66,14,125,254,22,24,4,80,19,2020/5/14
11/9/2019,18,中環,89,16,127,271,17,26,4,83,19,2020/5/15
11/9/2019,19,中環,102,18,161,458,9,28,8,88,20,2020/5/16
11/9/2019,20,中環,89,22,135,334,6,35,7,90,17,2020/5/17
11/9/2019,21,中環,96,30,129,256,12,44,5,89,20,2020/5/18
11/9/2019,22,中環,105,31,118,214,16,40,4,81,20,2020/5/19
11/9/2019,23,中環,90,25,111,193,12,34,4,75,20,2020/5/20
11/9/2019,24,中環,98,21,106,202,9,31,6,86,18,2020/5/21
12/9/2019,1,中環,104,24,103,260,5,31,6,72,19,2020/5/22
12/9/2019,2,中環,87,19,96,203,5,28,5,73,15,2020/5/23
12/9/2019,3,中環,72,19,93,161,6,26,4,78,16,2020/5/24
12/9/2019,4,中環,81,15,86,147,9,22,4,65,14,2020/5/25
12/9/2019,5,中環,71,16,36,44,59,21,2,76,9,2020/5/26
12/9/2019,6,中環,55,15,33,40,61,19,2,70,12,2020/5/27
12/9/2019,7,中環,66,17,72,106,28,22,2,66,14,2020/5/28
12/9/2019,8,中環,70,18,97,189,18,27,3,68,17,2020/5/29
12/9/2019,9,中環,65,16,112,272,15,26,5,67,15,2020/5/30
12/9/2019,10,中環,64,15,94,274,16,23,6,67,12,2020/5/31
12/9/2019,11,中環,62,14,77,200,21,22,5,68,14,2020/6/1
12/9/2019,12,中環,64,13,89,224,21,21,5,70,16,2020/6/2
12/9/2019,13,中環,66,13,101,253,22,23,5,69,18,2020/6/3
12/9/2019,14,中環,66,13,110,305,22,23,6,73,20,2020/6/4
12/9/2019,15,中環,72,14,111,257,26,28,5,76,22,2020/6/5
12/9/2019,16,中環,71,15,104,211,30,28,4,79,21,2020/6/6
12/9/2019,17,中環,68,17,97,192,28,30,5,73,21,2020/6/7
12/9/2019,18,中環,72,14,77,221,16,21,5,78,17,2020/6/8
12/9/2019,19,中環,97,15,103,301,9,20,7,83,17,2020/6/9
12/9/2019,20,中環,96,20,97,180,18,27,5,82,20,2020/6/10
12/9/2019,21,中環,82,20,80,132,30,27,4,76,21,2020/6/11
12/9/2019,22,中環,60,17,60,85,46,23,3,88,20,2020/6/12
12/9/2019,23,中環,64,15,66,103,33,19,4,80,16,2020/6/13
12/9/2019,24,中環,66,13,71,132,24,22,4,83,14,2020/6/14
13/9/2019,1,中環,56,11,55,93,28,21,4,63,14,2020/6/15
13/9/2019,2,中環,54,11,45,72,25,19,4,72,11,2020/6/16
13/9/2019,3,中環,50,10,33,53,27,18,3,63,8,2020/6/17
13/9/2019,4,中環,45,6,27,45,15,15,3,63,7,2020/6/18
13/9/2019,5,中環,44,2,24,47,13,9,4,54,6,2020/6/19
13/9/2019,6,中環,41,3,21,37,16,10,4,56,5,2020/6/20
13/9/2019,7,中環,47,3,31,72,12,10,3,60,6,2020/6/21
13/9/2019,8,中環,56,8,51,150,7,17,4,75,10,2020/6/22
13/9/2019,9,中環,60,11,73,260,7,22,6,70,12,2020/6/23
13/9/2019,10,中環,71,12,74,294,8,20,7,82,12,2020/6/24
13/9/2019,11,中環,66,12,85,282,11,22,6,77,16,2020/6/25
13/9/2019,12,中環,67,15,81,220,21,22,5,70,16,2020/6/26
13/9/2019,13,中環,68,13,101,264,21,24,5,65,17,2020/6/27
13/9/2019,14,中環,75,16,85,208,21,27,5,74,17,2020/6/28
13/9/2019,15,中環,60,15,67,136,34,26,4,74,20,2020/6/29
13/9/2019,16,中環,68,15,97,234,20,25,7,84,18,2020/6/30
13/9/2019,17,中環,70,16,105,214,25,26,6,78,21,2020/7/1
13/9/2019,18,中環,84,13,106,214,24,22,6,87,18,2020/7/2
13/9/2019,19,中環,118,16,102,197,17,24,5,87,19,2020/7/3
13/9/2019,20,中環,103,16,89,156,22,25,4,79,25,2020/7/4
13/9/2019,21,中環,80,16,71,104,37,23,4,80,23,2020/7/5
13/9/2019,22,中環,67,15,62,94,29,21,3,82,22,2020/7/6
13/9/2019,23,中環,57,13,55,102,27,18,4,64,13,2020/7/7
13/9/2019,24,中環,60,7,56,99,19,17,4,67,10,2020/7/8
14/9/2019,1,中環,53,10,47,77,26,18,4,70,12,2020/7/9
14/9/2019,2,中環,54,12,51,84,22,19,3,79,9,2020/7/10
14/9/2019,3,中環,47,9,36,53,35,15,2,86,9,2020/7/11
14/9/2019,4,中環,47,12,35,51,37,17,3,69,9,2020/7/12
14/9/2019,5,中環,49,8,38,54,31,14,3,68,9,2020/7/13
14/9/2019,6,中環,60,9,51,80,13,17,3,60,9,2020/7/14
14/9/2019,7,中環,64,13,61,141,5,21,4,66,10,2020/7/15
14/9/2019,8,中環,70,16,71,209,7,24,6,74,14,2020/7/16
14/9/2019,9,中環,51,15,52,101,30,25,3,68,15,2020/7/17
14/9/2019,10,中環,54,17,51,85,34,26,3,72,16,2020/7/18
14/9/2019,11,中環,53,17,62,90,28,27,3,74,18,2020/7/19
14/9/2019,12,中環,52,19,58,96,40,31,3,70,16,2020/7/20
14/9/2019,13,中環,60,16,84,164,35,27,5,70,17,2020/7/21
14/9/2019,14,中環,70,18,94,176,29,32,5,78,18,2020/7/22
14/9/2019,15,中環,65,15,68,108,33,26,4,72,17,2020/7/23
14/9/2019,16,中環,65,16,46,62,53,28,3,78,14,2020/7/24
14/9/2019,17,中環,77,15,65,94,44,24,3,80,19,2020/7/25
14/9/2019,18,中環,85,18,70,92,39,26,3,80,23,2020/7/26
14/9/2019,19,中環,76,20,72,99,32,28,3,87,22,2020/7/27
14/9/2019,20,中環,82,20,64,98,34,27,3,80,22,2020/7/28
14/9/2019,21,中環,75,20,75,129,26,25,4,85,25,2020/7/29
14/9/2019,22,中環,73,19,65,95,30,24,3,85,23,2020/7/30
14/9/2019,23,中環,54,17,48,64,41,23,3,83,24,2020/7/31
14/9/2019,24,中環,61,16,63,107,30,21,4,74,21,2020/8/1
15/9/2019,1,中環,58,16,48,80,33,21,4,74,21,2020/8/2
15/9/2019,2,中環,57,17,46,69,44,22,6,72,19,2020/8/3
15/9/2019,3,中環,51,23,24,30,71,27,6,79,20,2020/8/4
15/9/2019,4,中環,58,23,36,50,68,28,4,65,20,2020/8/5
15/9/2019,5,中環,63,21,45,55,68,27,3,97,22,2020/8/6
15/9/2019,6,中環,61,26,42,51,77,32,3,83,24,2020/8/7
15/9/2019,7,中環,58,27,55,70,64,34,3,72,23,2020/8/8
15/9/2019,8,中環,59,23,62,86,64,31,2,85,24,2020/8/9
15/9/2019,9,中環,63,18,77,113,49,26,2,85,20,2020/8/10
15/9/2019,10,中環,77,21,88,122,34,26,2,97,19,2020/8/11
15/9/2019,11,中環,74,25,86,131,37,30,3,96,22,2020/8/12
15/9/2019,12,中環,64,28,81,129,44,34,3,79,23,2020/8/13
15/9/2019,13,中環,60,25,73,124,55,35,4,72,20,2020/8/14
15/9/2019,14,中環,57,21,48,75,72,32,3,77,23,2020/8/15
15/9/2019,15,中環,62,19,70,107,60,27,3,80,22,2020/8/16
15/9/2019,16,中環,57,20,41,47,77,31,2,81,21,2020/8/17
15/9/2019,17,中環,60,18,34,36,84,32,2,87,22,2020/8/18
15/9/2019,18,中環,70,18,41,43,75,31,2,77,18,2020/8/19
15/9/2019,19,中環,96,19,45,47,75,28,3,87,20,2020/8/20
15/9/2019,20,中環,100,27,79,100,55,37,3,81,22,2020/8/21
15/9/2019,21,中環,106,28,83,92,30,37,4,83,24,2020/8/22
15/9/2019,22,中環,88,29,67,74,40,38,3,83,23,2020/8/23
15/9/2019,23,中環,75,20,90,118,24,27,4,82,21,2020/8/24
15/9/2019,24,中環,103,20,102,177,11,29,5,83,21,2020/8/25
16/9/2019,1,中環,75,19,92,143,11,26,4,77,20,2020/8/26
16/9/2019,2,中環,65,21,75,99,32,29,4,79,19,2020/8/27
16/9/2019,3,中環,61,22,35,39,70,30,3,76,19,2020/8/28
16/9/2019,4,中環,68,22,80,109,33,29,3,79,18,2020/8/29
16/9/2019,5,中環,65,19,62,78,36,24,2,86,17,2020/8/30
16/9/2019,6,中環,74,14,73,106,19,17,2,89,19,2020/8/31
16/9/2019,7,中環,98,18,91,197,8,21,4,87,17,2020/9/1
16/9/2019,8,中環,77,21,104,197,18,28,4,95,17,2020/9/2
16/9/2019,9,中環,76,22,122,275,16,32,5,87,15,2020/9/3
16/9/2019,10,中環,79,20,122,280,19,30,6,79,17,2020/9/4
16/9/2019,11,中環,76,17,106,197,39,30,4,76,18,2020/9/5
16/9/2019,12,中環,73,17,111,202,48,27,4,78,18,2020/9/6
16/9/2019,13,中環,72,19,101,174,52,28,4,90,18,2020/9/7
16/9/2019,14,中環,79,20,101,172,57,30,4,88,22,2020/9/8
16/9/2019,15,中環,80,20,128,255,50,31,6,89,23,2020/9/9
